src,dest
STM32F103VET6,-
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,AIN1@HR8833
17,AIN2@HR8833
18,
19,
20,
21,BIN1@HR8833
22,BIN2@HR8833
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
HR8833,-
1:nSLEEP,
2:AOUT1,27@FTP628
3:AISEN,
4:AOUT2,28@FTP628
5:BOUT2,29@FTP628
6:BISEN,
7:BOUT1,30@FTP628
8:nFAULT,
9:BIN1,21@STM32F103VET6
10:BIN2,20@STM32F103VET6
11:VCP,
12:VM,
13:GND,
14:VINT,
15:AIN2,17@STM32F103VET6
16:AIN1,16@STM32F103VET6
FTP628,-
1:PHK,
2:VSEN,
3:PHE,
4:N.C, -
5:N.C, -
6:VH, +V7?
7:VH, +V7?
8:DI,
9:CLK,
10:GND,
11:GND,
12:STB6,
13:STB5,
14:STB4,
15:VDD,
16:TH,
17:TH,
18:STB3,
19:STB2,
20:STB1,
21:GND, GND
22:GND, GND
23:_LAT, RP1 --- GND?
24:DO, -
25:VH, +V7?
26:VH, +V7?
27:MT A,2@HR8833
28:MT _A,4@HR8833
29:MT B,5@HR8833
30:MT _B,7@HR8833
